id,name,geoid,geoname,value,datetime,month,day_of_month,hour,Minutes
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,69.723,2023-01-01T00:00:00-07:00,1,1,0,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,72.015,2023-01-01T00:15:00-07:00,1,1,0,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,41.489,2023-01-01T00:30:00-07:00,1,1,0,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,63.627,2023-01-01T00:45:00-07:00,1,1,0,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,62.045,2023-01-01T01:00:00-07:00,1,1,1,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,67.632,2023-01-01T01:15:00-07:00,1,1,1,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,29.551,2023-01-01T01:30:00-07:00,1,1,1,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,47.763,2023-01-01T01:45:00-07:00,1,1,1,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,63.054,2023-01-01T02:00:00-07:00,1,1,2,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,60.402,2023-01-01T02:15:00-07:00,1,1,2,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,86.48,2023-01-01T02:30:00-07:00,1,1,2,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,106.474,2023-01-01T02:45:00-07:00,1,1,2,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,75.253,2023-01-01T03:00:00-07:00,1,1,3,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,95.562,2023-01-01T03:15:00-07:00,1,1,3,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,118.168,2023-01-01T03:30:00-07:00,1,1,3,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,71.88,2023-01-01T03:45:00-07:00,1,1,3,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,112.314,2023-01-01T04:00:00-07:00,1,1,4,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,56.537,2023-01-01T04:15:00-07:00,1,1,4,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,70.077,2023-01-01T04:30:00-07:00,1,1,4,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,101.923,2023-01-01T04:45:00-07:00,1,1,4,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,95.184,2023-01-01T05:00:00-07:00,1,1,5,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,87.862,2023-01-01T05:15:00-07:00,1,1,5,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,104.071,2023-01-01T05:30:00-07:00,1,1,5,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,81.402,2023-01-01T05:45:00-07:00,1,1,5,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,109.345,2023-01-01T06:00:00-07:00,1,1,6,0
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,93.739,2023-01-01T06:15:00-07:00,1,1,6,15
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,99.538,2023-01-01T06:30:00-07:00,1,1,6,30
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,93.175,2023-01-01T06:45:00-07:00,1,1,6,45
2001,Arizona DR-informed 15min price (synthetic),8401,Arizona,81.447,2023-01-01T07:00:00-07:00,1,1,7,0
